% Model:              spr_1d_bsa_cake.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 21 2025, 09:41
% Table:              Table 1 - Reflectance, Transmittance, and Absorptance (ewfd)
% in_rad (rad)           h_BSA (nm)               freq (THz)               Reflectance, order 0 (1)
1.1222467090323538       25.999999999999996       304.66713211382114       0.967091083716551
1.1222467090323538       30.999999999999996       304.66713211382114       0.9667164746647686
1.1222467090323538       36                       304.66713211382114       0.9662066140983776
1.1222467090323538       41                       304.66713211382114       0.9656370327304808
1.1222467090323538       45.99999999999999        304.66713211382114       0.9650490184467014
1.1239920382843482       0.9999999999999999       304.66713211382114       0.9436919042669165
1.1239920382843482       6                        304.66713211382114       0.9575851703852659
1.1239920382843482       11                       304.66713211382114       0.9635116949206103
1.1239920382843482       15.999999999999998       304.66713211382114       0.9660316577179971
1.1239920382843482       21                       304.66713211382114       0.9669631977459496
1.1239920382843482       25.999999999999996       304.66713211382114       0.9671125656277734
1.1239920382843482       30.999999999999996       304.66713211382114       0.9668665364095038
1.1239920382843482       36                       304.66713211382114       0.9664216878958549
1.1239920382843482       41                       304.66713211382114       0.965882132531341
1.1239920382843482       45.99999999999999        304.66713211382114       0.9653045061260626
1.1257373675363425       0.9999999999999999       304.66713211382114       0.9305144099507683
1.1257373675363425       6                        304.66713211382114       0.9520592552245715
1.1257373675363425       11                       304.66713211382114       0.9610473487692264
1.1257373675363425       15.999999999999998       304.66713211382114       0.9649392723050906
1.1257373675363425       21                       304.66713211382114       0.9665350539413188
1.1257373675363425       25.999999999999996       304.66713211382114       0.9670221725621062
1.1257373675363425       30.999999999999996       304.66713211382114       0.9669519972673428
1.1257373675363425       36                       304.66713211382114       0.9665982864788832
1.1257373675363425       41                       304.66713211382114       0.9661037720052853
1.1257373675363425       45.99999999999999        304.66713211382114       0.9655454345223076
1.127482696788337        0.9999999999999999       304.66713211382114       0.9103103397269853
1.127482696788337        6                        304.66713211382114       0.9439661606307861
1.127482696788337        11                       304.66713211382114       0.9574968290844187
1.127482696788337        15.999999999999998       304.66713211382114       0.9633346602510326
1.127482696788337        21                       304.66713211382114       0.9658451679559134
1.127482696788337        25.999999999999996       304.66713211382114       0.9667897461310075
1.127482696788337        30.999999999999996       304.66713211382114       0.9669568007008531
1.127482696788337        36                       304.66713211382114       0.966727479634308
1.127482696788337        41                       304.66713211382114       0.9662968249433231
1.127482696788337        45.99999999999999        304.66713211382114       0.9657688021586452
1.1292280260403311       0.9999999999999999       304.66713211382114       0.8787937371604206
1.1292280260403311       6                        304.66713211382114       0.9320437318175674
1.1292280260403311       11                       304.66713211382114       0.9524186066026417
1.1292280260403311       15.999999999999998       304.66713211382114       0.961039954866945
1.1292280260403311       21                       304.66713211382114       0.9648136467215404
1.1292280260403311       25.999999999999996       304.66713211382114       0.9663762583491122
1.1292280260403311       30.999999999999996       304.66713211382114       0.9668605994868719
1.1292280260403311       36                       304.66713211382114       0.9667981120095827
1.1292280260403311       41                       304.66713211382114       0.9664549384135569
1.1292280260403311       45.99999999999999        304.66713211382114       0.9659708924714521
1.1309733552923256       0.9999999999999999       304.66713211382114       0.8286870257942325
1.1309733552923256       6                        304.66713211382114       0.9142863500856172
1.1309733552923256       11                       304.66713211382114       0.9451586205840391
1.1309733552923256       15.999999999999998       304.66713211382114       0.9578058750080363
1.1309733552923256       21                       304.66713211382114       0.9633331408777983
1.1309733552923256       25.999999999999996       304.66713211382114       0.9657309147466231
1.1309733552923256       30.999999999999996       304.66713211382114       0.9666375370028037
1.1309733552923256       36                       304.66713211382114       0.9667962504966705
1.1309733552923256       41                       304.66713211382114       0.9665702668492104
1.1309733552923256       45.99999999999999        304.66713211382114       0.9661471399990852
1.1327186845443198       0.9999999999999999       304.66713211382114       0.7478862069339403
1.1327186845443198       6                        304.66713211382114       0.8874415127949812
1.1327186845443198       11                       304.66713211382114       0.9347291922054892
1.1327186845443198       15.999999999999998       304.66713211382114       0.9532779761988479
1.1327186845443198       21                       304.66713211382114       0.9612579214268933
1.1327186845443198       25.999999999999996       304.66713211382114       0.9647871464118609
1.1327186845443198       30.999999999999996       304.66713211382114       0.9662546184623743
1.1327186845443198       36                       304.66713211382114       0.9667044651459376
1.1327186845443198       41                       304.66713211382114       0.9666331326405366
1.1327186845443198       45.99999999999999        304.66713211382114       0.9662919615166258
1.1344640137963142       0.9999999999999999       304.66713211382114       0.6184665248668414
1.1344640137963142       6                        304.66713211382114       0.8461664933861908
1.1344640137963142       11                       304.66713211382114       0.9196090895682438
1.1344640137963142       15.999999999999998       304.66713211382114       0.9469442695130993
1.1344640137963142       21                       304.66713211382114       0.9583878677004413
1.1344640137963142       25.999999999999996       304.66713211382114       0.9634570042969499
1.1344640137963142       30.999999999999996       304.66713211382114       0.9656695168487902
1.1344640137963142       36                       304.66713211382114       0.9665008887679255
1.1344640137963142       41                       304.66713211382114       0.9666315921807684
1.1344640137963142       45.99999999999999        304.66713211382114       0.9663985435009027
1.1362093430483085       0.9999999999999999       304.66713211382114       0.42445690481614695
