% Model:              spr_1d_homo_index.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 26 2025, 09:48
% Table:              Table 1 - Reflectance, Transmittance, and Absorptance (ewfd)
% in_rad (rad)           n_channel                lambda0 (nm)             Reflectance, order 0 (1)
1.101                    1.3565                   983.9999999999999        0.9182308642599044
1.101                    1.357                    983.9999999999999        0.9176619544148558
1.101                    1.3575000000000002       983.9999999999999        0.917127581950838
1.101                    1.358                    983.9999999999999        0.9166250472682114
1.101                    1.3585                   983.9999999999999        0.9161519364323596
1.101                    1.359                    983.9999999999999        0.9157060818679569
1.101                    1.3595000000000002       983.9999999999999        0.9152855297665754
1.101                    1.36                     983.9999999999999        0.9148885128385548
1.102                    1.33                     983.9999999999999        0.964030025950797
1.102                    1.3305                   983.9999999999999        0.9650569043569313
1.102                    1.331                    983.9999999999999        0.9658813964178712
1.102                    1.3315000000000001       983.9999999999999        0.9665356923132398
1.102                    1.332                    983.9999999999999        0.9670463533735604
1.102                    1.3325                   983.9999999999999        0.9674353903020884
1.102                    1.333                    983.9999999999999        0.9677211146745133
1.102                    1.3335000000000001       983.9999999999999        0.96791881516243
1.102                    1.334                    983.9999999999999        0.9680412973984268
1.102                    1.3345                   983.9999999999999        0.9680993173270264
1.102                    1.335                    983.9999999999999        0.9681019304904835
1.102                    1.3355000000000001       983.9999999999999        0.9680567749079287
1.102                    1.336                    983.9999999999999        0.9679703010438057
1.102                    1.3365                   983.9999999999999        0.9678479593832457
1.102                    1.337                    983.9999999999999        0.9676943538655758
1.102                    1.3375000000000001       983.9999999999999        0.9675133676083028
1.102                    1.338                    983.9999999999999        0.9673082660232879
1.102                    1.3385                   983.9999999999999        0.9670817813098902
1.102                    1.339                    983.9999999999999        0.9668361814834279
1.102                    1.3395000000000001       983.9999999999999        0.9665733263956083
1.102                    1.34                     983.9999999999999        0.9662947126680913
1.102                    1.3405                   983.9999999999999        0.9660015090094429
1.102                    1.341                    983.9999999999999        0.9656945829154008
1.102                    1.3415000000000001       983.9999999999999        0.9653745195575266
1.102                    1.342                    983.9999999999999        0.9650416331504791
1.102                    1.3425                   983.9999999999999        0.9646959708988334
1.102                    1.343                    983.9999999999999        0.9643373092103174
1.102                    1.3435000000000001       983.9999999999999        0.9639651414391257
1.102                    1.344                    983.9999999999999        0.9635786559567253
1.102                    1.3445                   983.9999999999999        0.9631767027052012
1.102                    1.345                    983.9999999999999        0.9627577454408859
1.102                    1.3455000000000001       983.9999999999999        0.962319795818463
1.102                    1.346                    983.9999999999999        0.9618603236245973
1.102                    1.3465                   983.9999999999999        0.9613761350719513
1.102                    1.347                    983.9999999999999        0.9608632074096122
1.102                    1.3475000000000001       983.9999999999999        0.949764901473633
1.102                    1.348                    983.9999999999999        0.9446144540964228
1.102                    1.3485                   983.9999999999999        0.9409520898155513
1.102                    1.349                    983.9999999999999        0.9380340568571085
1.102                    1.3495000000000001       983.9999999999999        0.9355897028150251
1.102                    1.35                     983.9999999999999        0.9334825626446664
1.102                    1.3505                   983.9999999999999        0.9316317843362143
1.102                    1.351                    983.9999999999999        0.92998449963715
1.102                    1.3515000000000001       983.9999999999999        0.9285037454414685
1.102                    1.352                    983.9999999999999        0.9271623957382903
1.102                    1.3525                   983.9999999999999        0.925939800107218
1.102                    1.353                    983.9999999999999        0.9248197804377695
1.102                    1.3535000000000001       983.9999999999999        0.9237893673281887
1.102                    1.354                    983.9999999999999        0.9228379659782199
1.102                    1.3545                   983.9999999999999        0.9219567845214249
1.102                    1.355                    983.9999999999999        0.9211384299385669
1.102                    1.3555000000000001       983.9999999999999        0.920376614640496
1.102                    1.356                    983.9999999999999        0.9196659386049195
1.102                    1.3565                   983.9999999999999        0.9190017243729105
1.102                    1.357                    983.9999999999999        0.918379889797988
1.102                    1.3575000000000002       983.9999999999999        0.9177968485590129
1.102                    1.358                    983.9999999999999        0.9172494312338783
1.102                    1.3585                   983.9999999999999        0.9167348218965699
1.102                    1.359                    983.9999999999999        0.9162505066614915
1.102                    1.3595000000000002       983.9999999999999        0.9157942315292643
1.102                    1.36                     983.9999999999999        0.915363967526548
1.103                    1.33                     983.9999999999999        0.9622531321807031
1.103                    1.3305                   983.9999999999999        0.9636067675436829
1.103                    1.331                    983.9999999999999        0.9647052238063373
1.103                    1.3315000000000001       983.9999999999999        0.9655901113051784
1.103                    1.332                    983.9999999999999        0.9662955636801217
1.103                    1.3325                   983.9999999999999        0.9668497135166678
1.103                    1.333                    983.9999999999999        0.9672758490431886
1.103                    1.3335000000000001       983.9999999999999        0.9675933261955776
1.103                    1.334                    983.9999999999999        0.9678182918255376
1.103                    1.3345                   983.9999999999999        0.9679642605324431
1.103                    1.335                    983.9999999999999        0.9680425768065601
1.103                    1.3355000000000001       983.9999999999999        0.968062787248429
1.103                    1.336                    983.9999999999999        0.9680329416656408
1.103                    1.3365                   983.9999999999999        0.9679598376155729
1.103                    1.337                    983.9999999999999        0.9678492197227628
1.103                    1.3375000000000001       983.9999999999999        0.9677059426171126
1.103                    1.338                    983.9999999999999        0.9675341044267477
1.103                    1.3385                   983.9999999999999        0.9673371562706639
1.103                    1.339                    983.9999999999999        0.9671179920487657
1.103                    1.3395000000000001       983.9999999999999        0.9668790219027836
1.103                    1.34                     983.9999999999999        0.9666222320127755
1.103                    1.3405                   983.9999999999999        0.9663492328081621
1.103                    1.341                    983.9999999999999        0.9660612971227852
1.103                    1.3415000000000001       983.9999999999999        0.9657593895680582
1.103                    1.342                    983.9999999999999        0.9654441878444165
1.103                    1.3425                   983.9999999999999        0.9651160965301367
1.103                    1.343                    983.9999999999999        0.9647752535002464
1.103                    1.3435000000000001       983.9999999999999        0.9644215287701426
1.103                    1.344                    983.9999999999999        0.9640545152106883
1.103                    1.3445                   983.9999999999999        0.9636735101198476
1.103                    1.345                    983.9999999999999        0.9632774859697898
1.103                    1.3455000000000001       983.9999999999999        0.9628650480068598
1.103                    1.346                    983.9999999999999        0.962434375181486
1.103                    1.3465                   983.9999999999999        0.9619831394528701
1.103                    1.347                    983.9999999999999        0.961508396362227
1.103                    1.3475000000000001       983.9999999999999        0.9610064365107684
1.103                    1.348                    983.9999999999999        0.9524639219624752
1.103                    1.3485                   983.9999999999999        0.9461877027734649
1.103                    1.349                    983.9999999999999        0.9421222019851706
1.103                    1.3495000000000001       983.9999999999999        0.9389759577211849
1.103                    1.35                     983.9999999999999        0.9363786509835915
1.103                    1.3505                   983.9999999999999        0.9341593674227874
1.103                    1.351                    983.9999999999999        0.9322216515556908
1.103                    1.3515000000000001       983.9999999999999        0.930504365271465
1.103                    1.352                    983.9999999999999        0.9289656806978713
1.103                    1.3525                   983.9999999999999        0.9275753883221567
1.103                    1.353                    983.9999999999999        0.9263107701729656
1.103                    1.3535000000000001       983.9999999999999        0.9251541995449828
1.103                    1.354                    983.9999999999999        0.9240916557269531
1.103                    1.3545                   983.9999999999999        0.923111758476161
1.103                    1.355                    983.9999999999999        0.9222051148515182
1.103                    1.3555000000000001       983.9999999999999        0.9213638622984691
1.103                    1.356                    983.9999999999999        0.9205813400101579
1.103                    1.3565                   983.9999999999999        0.9198518467962
1.103                    1.357                    983.9999999999999        0.9191704588538436
1.103                    1.3575000000000002       983.9999999999999        0.9185328902535872
1.103                    1.358                    983.9999999999999        0.9179353843452067
1.103                    1.3585                   983.9999999999999        0.9173746279848879
1.103                    1.359                    983.9999999999999        0.9168476829801646
1.103                    1.3595000000000002       983.9999999999999        0.9163519306746898
1.103                    1.36                     983.9999999999999        0.9158850266905194
1.104                    1.33                     983.9999999999999        0.9599525143953477
1.104                    1.3305                   983.9999999999999        0.9617189286072378
1.104                    1.331                    983.9999999999999        0.9631616701787247
1.104                    1.3315000000000001       983.9999999999999        0.9643349274107365
1.104                    1.332                    983.9999999999999        0.9652828687904852
1.104                    1.3325                   983.9999999999999        0.9660416809976611
1.104                    1.333                    983.9999999999999        0.9666411540387584
1.104                    1.3335000000000001       983.9999999999999        0.9671059217890031
1.104                    1.334                    983.9999999999999        0.9674564385856936
1.104                    1.3345                   983.9999999999999        0.9677097528475586
1.104                    1.335                    983.9999999999999        0.9678801228459891
1.104                    1.3355000000000001       983.9999999999999        0.967979509648919
1.104                    1.336                    983.9999999999999        0.9680179736259138
1.104                    1.3365                   983.9999999999999        0.9680039948349439
1.104                    1.337                    983.9999999999999        0.9679447329714784
1.104                    1.3375000000000001       983.9999999999999        0.967846239082139
1.104                    1.338                    983.9999999999999        0.9677136285275647
1.104                    1.3385                   983.9999999999999        0.9675512226362826
1.104                    1.339                    983.9999999999999        0.96736266489601
1.104                    1.3395000000000001       983.9999999999999        0.9671510162753689
1.104                    1.34                     983.9999999999999        0.9669188333190728
1.104                    1.3405                   983.9999999999999        0.9666682318729879
1.104                    1.341                    983.9999999999999        0.9664009386204708
1.104                    1.3415000000000001       983.9999999999999        0.9661183322448094
