% Model:              SPR_attempt1.mph
% Version:            COMSOL 6.0.0.405
% Date:               Sep 2 2024, 11:54
% Table:              Table 1 - Global Evaluation 1
% in_rad                 h_BSA (nm)               freq (THz)               Reflectance, port 1 (1)
1.081                    39                       304.66713211382114       0.9608645952231849
1.081                    39.99999999999999        304.66713211382114       0.9607979069200854
1.081                    41                       304.66713211382114       0.9607319387195092
1.081                    42                       304.66713211382114       0.9606666803010502
1.081                    42.99999999999999        304.66713211382114       0.9606021237708746
1.081                    44                       304.66713211382114       0.9605382557361235
1.081                    45                       304.66713211382114       0.9604750640043519
1.081                    45.99999999999999        304.66713211382114       0.9604125410197759
1.081                    47                       304.66713211382114       0.9603506659525634
1.081                    48                       304.66713211382114       0.9602894484524435
1.081                    48.99999999999999        304.66713211382114       0.9602288180662195
1.081                    50                       304.66713211382114       0.9601688293136612
1.081                    50.99999999999999        304.66713211382114       0.960109449156971
1.081                    51.99999999999999        304.66713211382114       0.9600506641582863
1.081                    53                       304.66713211382114       0.9599924702835948
